subj,cdi_8mo,cdi_12mo,cdi_18mo,CDIcomp_8,CDIcomp_12,CDIcomp_18,percentile_8,percentile_12,percentile_18,quils_overall_standard,quils_vocab_standard,quils_vocab_perc,sf3_pvt_AgeCorrectedScore,sf3_pvt_percentile,sf5_pvt_AgeCorrectedScore,sf5_pvt_percentile,celf_vocab_scaled_score,celf_vocab_percentile,celf_core_lang,log_cdi_12mo,log_cdi_18mo
22,0,3,118,11,94,296,50,50,69.23076923076923,121,113,86.2,112,79,106,66,10,50,118,1.3862943611198906,4.770684624465665
23,0,0,5,16,52,104,50,25,6.176470588235294,106,100,50.8,103,58,106,66,10,50,100,0,1.6094379124341003
25,0,14,118,36,189,317,50,75,69.23076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,4.770684624465665
26,0,7,NA,89,261,NA,50,60,NA,94,103,60,103,58,NA,NA,NA,NA,NA,2.0794415416798357,NA
27,0,1,31,30,109,332,50,40,12.708333333333332,111,116,92.3,112,79,117,87,10,50,106,0.6931471805599453,3.4339872044851463
28,0,4,NA,18,105,NA,50,51.666666666666664,NA,126,116,92.3,112,79,117,87,13,84,119,1.6094379124341003,NA
29,1,4,103,92,215,322,60,51.666666666666664,58.888888888888886,126,116,92.3,103,58,128,97,10,50,114,1.6094379124341003,4.634728988229636
30,0,4,NA,19,128,NA,50,51.666666666666664,NA,114,113,86.2,103,58,117,87,12,75,121,1.6094379124341003,NA
31,0,0,78,10,98,337,50,25,43.888888888888886,128,125,96.2,120,91,117,87,11,63,112,0,4.356708826689592
32,0,2,28,4,180,300,50,45,12.083333333333334,106,110,80,86,18,84,15,10,50,96,1.0986122886681098,3.332204510175204
33,0,2,38,8,53,308,50,45,14.166666666666668,109,110,80,112,79,128,97,12,75,108,1.0986122886681098,3.6375861597263857
34,0,2,2,0,7,24,50,45,5.294117647058823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0986122886681098,0.6931471805599453
35,0,2,6,5,76,204,50,45,6.470588235294118,NA,NA,NA,103,58,106,66,12,75,112,1.0986122886681098,1.791759469228055
36,0,0,5,20,59,147,50,25,6.176470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.6094379124341003
37,0,0,34,46,178,352,50,25,13.333333333333332,NA,NA,NA,103,58,106,66,9,37,96,0,3.5263605246161616
38,0,NA,68,60,NA,334,50,NA,32.5,114,113,86.2,103,58,117,87,14,91,125,NA,4.219507705176107
39,0,NA,NA,35,NA,NA,50,NA,NA,90,87,22.1,94,34,NA,NA,NA,NA,NA,NA,NA
40,NA,0,NA,NA,51,NA,NA,25,NA,NA,NA,NA,NA,NA,106,66,11,63,106,0,NA
41,0,2,NA,0,11,NA,50,45,NA,118,107,74.6,103,58,117,87,10,50,106,1.0986122886681098,NA
42,0,3,NA,0,35,NA,50,50,NA,111,105,68.5,94,34,95,37,7,16,96,1.3862943611198906,NA
43,0,1,2,1,67,372,50,40,5.294117647058823,91,93,31.5,77,6,106,66,10,50,102,0.6931471805599453,0.6931471805599453
44,1,2,35,15,48,152,60,45,13.541666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0986122886681098,3.5553480614894135
45,3,16,12,191,274,338,80,77.5,8.235294117647058,NA,NA,NA,NA,NA,106,66,9,37,96,2.833213344056216,2.4849066497880004
46,0,NA,29,0,NA,70,50,NA,12.291666666666666,102,100,50.8,68,2,NA,NA,NA,NA,NA,NA,3.367295829986474
