step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.0005333333333333334,dirty,50,11.228078,561.403888
1,0.0005333333333333334,dish,50,11.198428,559.921383
1,0.0005333333333333334,do,50,10.480925,524.046265
1,0.0005333333333333334,doctor,50,10.297665,514.883266
1,0.0005333333333333334,does,50,10.885486,544.274282
1,0.0005333333333333334,dog,50,11.135828,556.791424
1,0.0005333333333333334,doll,50,11.150856,557.542781
1,0.0005333333333333334,donkey,50,11.109774,555.488702
1,0.0005333333333333334,donut,41,11.172595,458.076393
1,0.0005333333333333334,door,50,10.072167,503.608372
1,0.0005333333333333334,down,50,11.425727,571.286356
1,0.0005333333333333334,downtown,8,10.912176,87.297408
1,0.0005333333333333334,draw,50,11.292399,564.619955
1,0.0005333333333333334,drawer,50,10.870494,543.524719
1,0.0005333333333333334,dress,50,11.489026,574.451297
1,0.0005333333333333334,drink,50,10.867915,543.395726
1,0.0005333333333333334,drive,50,12.427617,621.380857
1,0.0005333333333333334,drop,50,9.953375,497.668739
1,0.0005333333333333334,dry,50,10.742034,537.101681
1,0.0005333333333333334,dryer,20,10.421487,208.429734
1,0.0005333333333333334,duck,50,10.590087,529.504330
1,0.0005333333333333334,dump,50,10.094562,504.728124
1,0.0005333333333333334,each,50,11.626146,581.307315
1,0.0005333333333333334,ear,50,11.482779,574.138929
1,0.0005333333333333334,eat,50,10.548618,527.430905
1,0.0005333333333333334,egg,50,10.664204,533.210194
1,0.0005333333333333334,elephant,50,11.577224,578.861194
1,0.0005333333333333334,empty,50,10.935898,546.794890
1,0.0005333333333333334,every,50,10.890121,544.506049
1,0.0005333333333333334,eye,50,11.407247,570.362347
1,0.0005333333333333334,face,50,11.311738,565.586900
1,0.0005333333333333334,fall,50,10.823832,541.191603
1,0.0005333333333333334,farm,50,10.710322,535.516084
1,0.0005333333333333334,fast,50,11.107538,555.376883
1,0.0005333333333333334,feed,50,11.400622,570.031107
1,0.0005333333333333334,find,50,10.294026,514.701323
1,0.0005333333333333334,fine,50,11.021977,551.098840
1,0.0005333333333333334,finger,50,10.524805,526.240227
1,0.0005333333333333334,finish,50,10.679367,533.968343
1,0.0005333333333333334,first,50,11.385103,569.255162
1,0.0005333333333333334,fish,50,11.000346,550.017305
1,0.0005333333333333334,fit,50,11.436604,571.830193
1,0.0005333333333333334,fix,50,10.384314,519.215682
1,0.0005333333333333334,flag,50,11.543324,577.166214
1,0.0005333333333333334,flower,50,10.637363,531.868146
1,0.0005333333333333334,food,50,11.082502,554.125123
1,0.0005333333333333334,foot,50,11.992194,599.609684
1,0.0005333333333333334,for,50,11.586274,579.313708
1,0.0005333333333333334,fork,50,10.562334,528.116720
1,0.0005333333333333334,french,50,11.424145,571.207226
1,0.0005333333333333334,friend,50,11.289876,564.493818
1,0.0005333333333333334,frog,50,10.525204,526.260182
1,0.0005333333333333334,full,50,10.925965,546.298251
1,0.0005333333333333334,game,50,10.622593,531.129626
1,0.0005333333333333334,garage,50,11.294033,564.701659
1,0.0005333333333333334,garbage,50,11.339164,566.958187
1,0.0005333333333333334,garden,50,12.393989,619.699433
1,0.0005333333333333334,gas,50,10.685107,534.255362
1,0.0005333333333333334,gentle,50,11.135590,556.779479
1,0.0005333333333333334,get,50,10.445173,522.258668
1,0.0005333333333333334,giraffe,50,10.535438,526.771925
1,0.0005333333333333334,girl,50,10.931887,546.594357
1,0.0005333333333333334,give,50,10.640463,532.023164
1,0.0005333333333333334,glass,50,12.100582,605.029081
1,0.0005333333333333334,glasses,50,11.395134,569.756708
1,0.0005333333333333334,gloves,50,12.650619,632.530950
1,0.0005333333333333334,glue,50,10.634581,531.729055
1,0.0005333333333333334,go,50,11.938451,596.922554
1,0.0005333333333333334,good,50,11.070907,553.545342
1,0.0005333333333333334,goose,50,11.372035,568.601755
1,0.0005333333333333334,grandma,50,10.651991,532.599527
1,0.0005333333333333334,grandpa,45,11.198520,503.933394
1,0.0005333333333333334,grapes,50,10.940808,547.040415
1,0.0005333333333333334,grass,50,10.750037,537.501859
1,0.0005333333333333334,green,50,10.871142,543.557123
1,0.0005333333333333334,gum,50,10.927712,546.385610
1,0.0005333333333333334,hair,50,11.184125,559.206225
1,0.0005333333333333334,hamburger,50,11.102375,555.118766
1,0.0005333333333333334,hammer,50,10.765467,538.273351
1,0.0005333333333333334,hand,50,10.898791,544.939569
1,0.0005333333333333334,happy,50,10.868314,543.415702
1,0.0005333333333333334,hard,50,10.563790,528.189499
1,0.0005333333333333334,hat,50,10.123790,506.189478
1,0.0005333333333333334,hate,50,11.193810,559.690500
1,0.0005333333333333334,have,50,10.896233,544.811658
1,0.0005333333333333334,he,50,10.629082,531.454112
1,0.0005333333333333334,head,50,10.692456,534.622824
1,0.0005333333333333334,hear,50,10.795256,539.762811
1,0.0005333333333333334,heavy,50,11.230495,561.524755
1,0.0005333333333333334,helicopter,50,11.843178,592.158902
1,0.0005333333333333334,hello,50,10.527145,526.357237
1,0.0005333333333333334,help,50,12.075183,603.759169
1,0.0005333333333333334,her,50,11.103006,555.150294
1,0.0005333333333333334,here,50,11.442400,572.119979
1,0.0005333333333333334,hi,50,11.652493,582.624665
1,0.0005333333333333334,hide,50,10.091072,504.553609
1,0.0005333333333333334,high,50,11.065749,553.287441
1,0.0005333333333333334,him,50,11.098788,554.939413
1,0.0005333333333333334,his,50,10.756337,537.816849
1,0.0005333333333333334,hit,50,11.322126,566.106287
1,0.0005333333333333334,hold,50,11.481742,574.087100
1,0.0005333333333333334,home,50,9.790372,489.518613
1,0.0005333333333333334,horse,50,10.863589,543.179443
1,0.0005333333333333334,hose,50,11.187172,559.358590
1,0.0005333333333333334,hot,50,10.402771,520.138565
1,0.0005333333333333334,house,50,10.629478,531.473910
1,0.0005333333333333334,how,50,10.770123,538.506167
1,0.0005333333333333334,hug,50,10.926439,546.321970
1,0.0005333333333333334,hungry,50,12.350947,617.547356
1,0.0005333333333333334,hurry,50,11.760180,588.008985
1,0.0005333333333333334,hurt,50,11.470150,573.507499
1,0.0005333333333333334,i,50,10.882962,544.148097
1,0.0005333333333333334,ice,50,11.301409,565.070465
1,0.0005333333333333334,if,50,10.844956,542.247809
1,0.0005333333333333334,inside,50,11.764590,588.229509
1,0.0005333333333333334,into,50,11.004722,550.236084
1,0.0005333333333333334,is,50,10.856932,542.846582
1,0.0005333333333333334,it,50,10.423700,521.184977
1,0.0005333333333333334,jacket,50,10.950966,547.548323
1,0.0005333333333333334,jar,50,10.931058,546.552883
1,0.0005333333333333334,jeans,16,11.448310,183.172958
1,0.0005333333333333334,jelly,50,11.430367,571.518352
1,0.0005333333333333334,juice,50,10.809688,540.484413
1,0.0005333333333333334,jump,50,10.259310,512.965498
1,0.0005333333333333334,keys,50,11.116437,555.821828
1,0.0005333333333333334,kick,50,9.371498,468.574876
1,0.0005333333333333334,kiss,50,10.090400,504.520004
1,0.0005333333333333334,kitchen,50,10.506669,525.333453
1,0.0005333333333333334,kitty,50,10.991295,549.564733
1,0.0005333333333333334,knee,50,9.796233,489.811654
1,0.0005333333333333334,knife,50,10.534793,526.739669
1,0.0005333333333333334,knock,50,10.882027,544.101354
1,0.0005333333333333334,ladder,50,10.745315,537.265738
1,0.0005333333333333334,lady,50,11.304031,565.201560
1,0.0005333333333333334,lamb,50,11.342025,567.101269
1,0.0005333333333333334,lamp,50,11.904758,595.237883
1,0.0005333333333333334,last,50,11.720600,586.029989
1,0.0005333333333333334,later,50,10.487253,524.362673
1,0.0005333333333333334,lawn,37,11.125818,411.655264
1,0.0005333333333333334,leg,50,11.899052,594.952599
1,0.0005333333333333334,lick,50,11.877515,593.875735
1,0.0005333333333333334,light,50,10.717199,535.859946
1,0.0005333333333333334,like,50,11.162710,558.135512
1,0.0005333333333333334,lion,50,10.757443,537.872130
1,0.0005333333333333334,lips,50,11.868816,593.440790
1,0.0005333333333333334,listen,50,11.215007,560.750360
1,0.0005333333333333334,little,50,10.555810,527.790524
1,0.0005333333333333334,living,50,11.640177,582.008854
1,0.0005333333333333334,lollipop,50,11.249920,562.496004
1,0.0005333333333333334,long,50,11.061953,553.097634
1,0.0005333333333333334,look,50,10.357118,517.855903
1,0.0005333333333333334,loud,50,11.731495,586.574734
1,0.0005333333333333334,love,50,11.387228,569.361397
1,0.0005333333333333334,lunch,50,10.876675,543.833746
1,0.0005333333333333334,mad,50,10.682959,534.147937
1,0.0005333333333333334,make,50,10.211925,510.596261
1,0.0005333333333333334,man,50,10.820357,541.017841
1,0.0005333333333333334,me,50,10.795315,539.765740
1,0.0005333333333333334,meat,50,10.849849,542.492426
1,0.0005333333333333334,medicine,50,10.201430,510.071488
1,0.0005333333333333334,milk,50,10.205970,510.298479
1,0.0005333333333333334,mine,50,12.254106,612.705279
1,0.0005333333333333334,mommy,50,10.804412,540.220617
1,0.0005333333333333334,money,50,10.530499,526.524962
1,0.0005333333333333334,monkey,50,12.541431,627.071571
