Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
every	12.104640	6.992312	11.899650	7.974307	2.156342	0.653977
eye	11.567876	5.176551	13.409189	0.176551	3.586170	2.265480
face	11.738896	4.153399	16.738896	-0.455750	2.057452	2.593898
fall	11.931055	4.055442	15.206748	1.508902	2.144376	1.839996
farm	11.800114	3.759737	13.063383	-1.240263	3.677726	1.737436
fast	11.161147	3.780122	10.494851	3.096157	3.246312	0.526166
feed	11.596536	5.387671	16.493267	0.387671	2.343025	3.545225
find	12.206018	2.990718	14.140410	3.064784	1.746370	0.867382
fine	11.505955	4.762638	12.727917	-0.237362	3.964612	1.953519
finger	11.885137	4.096267	11.929031	4.004714	2.517164	0.692519
finish	11.703768	5.724014	12.062313	5.983154	2.214592	0.815425
first	11.163656	4.747466	16.163656	2.290376	1.538474	2.264232
fish	11.347676	4.133861	11.217168	4.513422	2.586225	0.614839
fit	12.301978	3.136373	13.143910	1.375451	2.795252	1.113576
fix	12.003336	3.753191	12.299383	4.356460	2.507131	0.746665
flag	13.719750	5.783405	12.012683	6.270791	3.188188	0.415823
flower	11.600140	5.293775	12.146574	5.371264	2.619790	0.886733
food	11.840906	4.271734	16.840906	4.396453	0.732101	1.305335
foot	11.831711	2.763373	14.309278	-2.236627	3.166401	1.734370
for	11.518213	3.681906	11.514788	4.368744	1.559109	0.331939
fork	11.075672	3.805713	10.501272	3.596072	3.351240	0.470814
french	12.683117	6.994766	11.198658	7.538735	3.454122	0.285834
friend	12.230351	3.121318	11.354891	2.767342	2.886972	0.656922
frog	11.596334	4.463696	11.880855	-0.536304	3.942092	1.771922
full	12.574732	5.819517	13.681673	1.562417	3.518889	1.723361
game	11.052662	3.502844	10.522895	2.985136	3.403525	0.620586
garage	12.860672	4.047088	11.490161	4.648964	2.851068	0.360199
garbage	12.223109	3.524479	11.696709	2.684146	3.315529	0.601822
garden	12.458770	3.436119	12.210846	4.115799	2.616198	0.481702
gas	12.199200	5.702220	11.614780	5.458092	3.441100	0.505705
gentle	11.256303	5.422116	12.707688	0.422116	4.107582	2.085364
get	10.981628	3.146940	10.806563	4.173488	1.493382	0.219550
giraffe	11.777992	4.546962	11.877061	3.997811	2.981619	0.699257
girl	11.109148	2.378599	11.263069	2.548082	2.155929	0.587224
give	11.195638	3.396638	14.408055	3.675102	1.174184	0.979934
glass	11.860382	5.605490	11.137882	5.904121	3.021901	0.582805
glasses	11.951839	4.157572	12.067825	1.564076	3.514067	0.971727
gloves	12.316377	5.330018	11.004128	6.201132	3.629958	0.209221
glue	12.057905	4.965651	10.698408	5.717226	3.443450	0.327831
go	10.558423	1.531024	12.881577	2.072316	1.422122	0.701721
good	10.428336	3.286254	12.237211	3.890918	1.293124	0.697615
goose	11.133427	5.442613	9.584966	5.871249	3.625670	0.143556
grandma	11.619911	5.528094	11.263748	2.841456	3.978713	1.035138
