"item","short","lexical_category","prob","in_model_200","n_datasets","AM2018","FM2012","FMW2013","fernald_totlot","BabyView","SEEDLingS"
"mouse","mouse","nouns",0.000162676071302048,TRUE,6,1,1,1,1,1,1
"boat","boat","nouns",0.000154780301959765,TRUE,5,1,1,1,1,1,0
"finger","finger","nouns",0.000152109674093992,TRUE,6,1,1,1,1,1,1
"fish (animal)","fish1","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"drink (beverage)","drink1","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"french fries","frnchfrs","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"green beans","greenbns","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"watch (object)","watch1","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"water (not beverage)","water2","nouns",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"bathroom","bathroom","nouns",0.000118900997154388,TRUE,6,1,1,1,1,1,1
"blanket","blanket","nouns",0.000101948315919485,TRUE,6,1,1,1,1,1,1
"flower","flower","nouns",9.73037457181417e-05,TRUE,6,1,1,1,1,1,1
"bubbles","bubbles","nouns",9.50975748725036e-05,TRUE,6,1,1,1,1,1,1
"rain","rain","nouns",9.06852331812275e-05,TRUE,6,1,1,1,1,1,1
"toast","toast","nouns",9.03368904161268e-05,TRUE,6,1,1,1,1,1,1
"stairs","stairs","nouns",7.60548370469962e-05,TRUE,6,1,1,1,1,1,1
"tummy","tummy","nouns",7.40808947114253e-05,TRUE,6,1,1,1,1,1,1
"potty","potty","nouns",7.16424953557201e-05,TRUE,6,1,1,1,1,1,1
"crayon","crayon","nouns",6.93202102550484e-05,TRUE,5,1,1,1,1,1,0
"giraffe","giraffe","nouns",6.78107249396119e-05,TRUE,6,1,1,1,1,1,1
"pillow","pillow","nouns",6.66495823892761e-05,TRUE,6,1,1,1,1,1,1
"cracker","cracker","nouns",6.56045540939738e-05,TRUE,6,1,1,1,1,1,1
"lamb","lamb","nouns",6.03794126174626e-05,TRUE,6,1,1,1,1,1,1
"potato","potato","nouns",5.22514147651119e-05,TRUE,5,1,1,1,1,1,0
"oven","oven","nouns",4.99291296644403e-05,TRUE,6,1,1,1,1,1,1
"bedroom","bedroom","nouns",4.76068445637686e-05,TRUE,6,1,1,1,1,1,1
"squirrel","squirrel","nouns",4.01755322416194e-05,TRUE,6,1,1,1,1,1,1
"pickle","pickle","nouns",3.889827543625e-05,TRUE,5,1,1,1,1,1,0
"tooth","tooth","nouns",3.83177041610821e-05,TRUE,6,1,1,1,1,1,1
"drawer","drawer","nouns",3.62276475704776e-05,TRUE,6,1,1,1,1,1,1
"lollipop","lollipop","nouns",3.56470762953097e-05,TRUE,5,1,1,1,1,1,0
"pony","pony","nouns",3.16991916241679e-05,TRUE,6,1,1,1,1,1,1
"chin","chin","nouns",2.98413635436306e-05,TRUE,5,1,1,1,1,1,0
"vacuum","vacuum","nouns",2.29906224966492e-05,TRUE,6,1,1,1,1,1,1
"noodles","noodles","nouns",2.28745082416157e-05,TRUE,6,1,1,1,1,1,1
"slipper","slipper","nouns",1.63721099597351e-05,TRUE,5,1,1,1,1,1,0
"flag","flag","nouns",1.35853678389291e-05,TRUE,5,1,1,1,1,1,0
"tricycle","tricycle","nouns",1.2772568053694e-05,TRUE,5,1,1,1,1,1,0
"cloud","cloud","nouns",1.24242252885933e-05,TRUE,5,1,1,1,1,1,0
"sled","sled","nouns",1.19597682684589e-05,TRUE,5,1,1,1,1,1,0
"vagina*","vagina","nouns",1.39337106040298e-06,TRUE,4,1,1,1,1,0,0
"no","no","other",0.00713974942775992,TRUE,6,1,1,1,1,1,1
"time","time","other",0.00128039189025531,TRUE,5,1,1,1,1,1,0
"hi","hi","other",0.000836138750496824,TRUE,6,1,1,1,1,1,1
"wait","wait","other",0.000777849394469966,TRUE,6,1,1,1,1,1,1
"today","today","other",0.000754858771973317,TRUE,6,1,1,1,1,1,1
"please","please","other",0.000710503126550488,TRUE,6,1,1,1,1,1,1
"day","day","other",0.000581848531973279,TRUE,6,1,1,1,1,1,1
"people","people","other",0.00057894567559744,TRUE,6,1,1,1,1,1,1
"hello","hello","other",0.000521004662335682,TRUE,6,1,1,1,1,1,1
"before","before","other",0.000468521019060503,TRUE,5,1,1,1,1,1,0
"morning","morning","other",0.000347646079570544,TRUE,6,1,1,1,1,1,1
"bye","bye","other",0.000304916033718186,TRUE,6,1,1,1,1,1,1
"later","later","other",0.000256031932349048,TRUE,6,1,1,1,1,1,1
"dinner","dinner","other",0.00023176405304703,TRUE,6,1,1,1,1,1,1
"lunch","lunch","other",0.000212837429476556,TRUE,6,1,1,1,1,1,1
"breakfast","breakfst","other",0.000203316060563802,TRUE,6,1,1,1,1,1,1
"yesterday","yesterdy","other",0.000203083832053735,TRUE,5,1,1,1,1,1,0
"moo","moo","other",0.000152922473879227,TRUE,6,1,1,1,1,1,1
"teddy bear","teddyber","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"fire truck","firetrck","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"potato chips","potatchp","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"call (on phone)","callnphn","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"gimme five","givemefv","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"gonna get you","gonnagty","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"shh/shush/hush","shh","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"turn around","turnarnd","other",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"grandma*","grandma","other",0.000150484074523522,TRUE,5,1,1,1,1,0,1
"bath","bath","other",0.000147581218147683,TRUE,6,1,1,1,1,1,1
"farm","farm","other",0.000141311048375869,TRUE,5,1,1,1,1,1,0
"brother","brother","other",0.000138524306255063,TRUE,6,1,1,1,1,1,1
"doctor","doctor","other",0.00013678259242956,TRUE,5,1,1,1,1,1,0
"person","person","other",0.000132834707758418,TRUE,6,1,1,1,1,1,1
"meow","meow","other",0.000106941228885929,TRUE,6,1,1,1,1,1,1
"snack","snack","other",7.68676368322313e-05,TRUE,5,1,1,1,1,1,0
"uncle","uncle","other",6.9436324510082e-05,TRUE,6,1,1,1,1,1,1
"grandpa*","grandpa","other",6.66495823892761e-05,TRUE,5,1,1,1,1,0,1
"choo choo","choochoo","other",4.66779305235e-05,TRUE,5,1,1,1,1,0,1
"night night","nghtnght","other",4.65618162684664e-05,TRUE,5,1,1,1,1,0,1
"pancakes","pancake","other",3.80854756510149e-05,TRUE,4,1,1,1,1,0,0
"cowboy","cowboy","other",3.56470762953097e-05,TRUE,5,1,1,1,1,1,0
"fireman","fireman","other",2.79835354630933e-05,TRUE,5,1,1,1,1,1,0
"woods","woods","other",2.25261654765149e-05,TRUE,5,1,1,1,1,1,0
"camping","camping","other",1.82299380402724e-05,TRUE,5,1,1,1,1,1,0
"woof woof","woofwoof","other",8.12799785235074e-06,TRUE,5,1,1,1,1,0,1
"baa baa","baabaa","other",4.64457020134328e-06,TRUE,5,1,1,1,1,0,1
"patty cake","patycak","other",3.83177041610821e-06,TRUE,4,1,1,1,1,0,0
"grrr","grr","other",1.04502829530224e-06,TRUE,6,1,1,1,1,1,1
"cock-a-doodle-doo","cockddld","other",1.04502829530224e-06,TRUE,5,1,1,1,1,0,1
"have","have","predicates",0.00566881404499451,TRUE,5,1,1,1,1,1,0
"help","help","predicates",0.00081233532821494,TRUE,6,1,1,1,1,1,1
"pretty","pretty","predicates",0.000770998653422984,TRUE,6,1,1,1,1,1,1
"find","find","predicates",0.000722579009073981,TRUE,5,1,1,1,1,1,0
"first","first","predicates",0.000696104958926324,TRUE,5,1,1,1,1,1,0
"show","show","predicates",0.000619817893369261,TRUE,6,1,1,1,1,1,1
"hold","hold","predicates",0.00058707367344979,TRUE,5,1,1,1,1,1,0
"open","open","predicates",0.000584170817073951,TRUE,6,1,1,1,1,1,1
"green","green","predicates",0.000521004662335682,TRUE,5,1,1,1,1,1,0
"stop","stop","predicates",0.000482919186684667,TRUE,6,1,1,1,1,1,1
"last","last","predicates",0.000481177472859164,TRUE,5,1,1,1,1,1,0
"new","new","predicates",0.00047618455989272,TRUE,5,1,1,1,1,1,0
"pick","pick","predicates",0.000438563541261839,TRUE,5,1,1,1,1,1,0
"throw","throw","predicates",0.000377487443114175,TRUE,6,1,1,1,1,1,1
"bad","bad","predicates",0.000339169738953093,TRUE,6,1,1,1,1,1,1
"write","write","predicates",0.000309444489664496,TRUE,6,1,1,1,1,1,1
"fall","fall","predicates",0.000293885179489996,TRUE,6,1,1,1,1,1,1
"happy","happy","predicates",0.000285292724617511,TRUE,6,1,1,1,1,1,1
"touch","touch","predicates",0.000273565184859119,TRUE,6,1,1,1,1,1,1
"finish","finish","predicates",0.000266249986792004,TRUE,6,1,1,1,1,1,1
"bite","bite","predicates",0.000241749878979918,TRUE,6,1,1,1,1,1,1
"sing","sing","predicates",0.000239775936644347,TRUE,6,1,1,1,1,1,1
"stand","stand","predicates",0.000238034222818843,TRUE,5,1,1,1,1,1,0
"ride","ride","predicates",0.000234783023677903,TRUE,6,1,1,1,1,1,1
"jump","jump","predicates",0.000204012746094004,TRUE,6,1,1,1,1,1,1
"dirty","dirty","predicates",0.000192749663355746,TRUE,6,1,1,1,1,1,1
"run","run","predicates",0.000191007949530242,TRUE,6,1,1,1,1,1,1
"brown","brown","predicates",0.000190775721020175,TRUE,5,1,1,1,1,1,0
"fast","fast","predicates",0.000166159498953056,TRUE,6,1,1,1,1,1,1
"cook","cook","predicates",0.000164185556617485,TRUE,5,1,1,1,1,1,0
"wet","wet","predicates",0.000158960415140974,TRUE,6,1,1,1,1,1,1
"drink (action)","drink2","predicates",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"dry (action)","dry1","predicates",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"slide (action)","slide2","predicates",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"work (action)","work2","predicates",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"dry (description)","dry2","predicates",0.000150600188778556,TRUE,4,1,1,1,1,0,0
"drive","drive","predicates",0.000139917677315466,TRUE,6,1,1,1,1,1,1
"dance","dance","predicates",0.000117623740349019,TRUE,6,1,1,1,1,1,1
"loud","loud","predicates",9.39364323221678e-05,TRUE,5,1,1,1,1,1,0
"hide","hide","predicates",8.98724333959925e-05,TRUE,5,1,1,1,1,1,0
"cry","cry","predicates",8.58084344698171e-05,TRUE,6,1,1,1,1,1,1
"carry","carry","predicates",8.24411210738432e-05,TRUE,5,1,1,1,1,1,0
"climb","climb","predicates",7.80287793825671e-05,TRUE,5,1,1,1,1,1,0
"gentle","gentle","predicates",7.41970089664589e-05,TRUE,6,1,1,1,1,1,1
"sticky","sticky","predicates",6.32822689933022e-05,TRUE,5,1,1,1,1,1,0
"splash","splash","predicates",4.90002156241716e-05,TRUE,6,1,1,1,1,1,1
"smile","smile","predicates",3.65759903355783e-05,TRUE,6,1,1,1,1,1,1
"tear","tear","predicates",3.30925626845709e-05,TRUE,5,1,1,1,1,1,0
"naughty","naughty","predicates",2.06683373959776e-05,TRUE,6,1,1,1,1,1,1
"sweep","sweep","predicates",1.55593101745e-05,TRUE,5,1,1,1,1,1,0
"you","you","function_words",0.0437818087744524,FALSE,6,1,1,1,1,1,1
"the","the","function_words",0.0327891561361681,FALSE,5,1,1,1,1,1,0
"a","a","function_words",0.0229017950915485,FALSE,5,1,1,1,1,1,0
"i",NA,"function_words",0.0181027929310106,FALSE,1,0,0,0,0,1,0
"and","andconn","function_words",0.0163419202534263,FALSE,5,1,1,1,1,1,0
"that","that","function_words",0.0162355595958156,FALSE,6,1,1,1,1,1,1
"to","toprep","function_words",0.0138600941663385,FALSE,5,1,1,1,1,1,0
"do","do","function_words",0.011365147168432,FALSE,5,1,1,1,1,1,0
"this","this","function_words",0.0100787173369149,FALSE,6,1,1,1,1,1,1
"in",NA,"function_words",0.00984602436982762,FALSE,5,1,1,1,0,1,1
"your","your","function_words",0.00752060418427007,FALSE,6,1,1,1,1,1,1
"he","he","function_words",0.00714056222754516,FALSE,5,1,1,1,1,1,0
"we","we","function_words",0.00688325303839074,FALSE,5,1,1,1,1,1,0
"up","upprep","function_words",0.00429007338072575,FALSE,6,1,1,1,1,1,1
"she","she","function_words",0.0042324807102291,FALSE,5,1,1,1,1,1,0
"not","notquant","function_words",0.00415630975892707,FALSE,6,1,1,1,1,1,1
"so","soconn","function_words",0.00415282633127606,FALSE,5,1,1,1,1,1,0
"they","they","function_words",0.00400768351248408,FALSE,5,1,1,1,1,1,0
"was","was","function_words",0.00395728992579951,FALSE,5,1,1,1,1,1,0
"be","be","function_words",0.00323831045863157,FALSE,5,1,1,1,1,1,0
"some","some","function_words",0.00321857103527586,FALSE,6,1,1,1,1,1,1
"but","but","function_words",0.0031309047727255,FALSE,5,1,1,1,1,1,0
"where","where","function_words",0.00263683861755761,FALSE,6,1,1,1,1,1,1
"does","does","function_words",0.00222161404155752,FALSE,5,1,1,1,1,1,0
"then","thenconn","function_words",0.00213661840687294,FALSE,5,1,1,1,1,1,0
"his","his","function_words",0.00212512309562462,FALSE,6,1,1,1,1,1,1
"him","him","function_words",0.00206857545342326,FALSE,5,1,1,1,1,1,0
"over","over","function_words",0.00199913912891318,FALSE,5,1,1,1,1,1,0
"who","who","function_words",0.00195664131157089,FALSE,6,1,1,1,1,1,1
"why","why","function_words",0.00193295400354404,FALSE,6,1,1,1,1,1,1
"would","would","function_words",0.00173811428359769,FALSE,5,1,1,1,1,1,0
"these","these","function_words",0.00160075111989296,FALSE,5,1,1,1,1,1,0
"those","those","function_words",0.00156545238636275,FALSE,5,1,1,1,1,1,0
"off","off","function_words",0.0014179872824701,FALSE,6,1,1,1,1,1,1
"an","an","function_words",0.00108415879924855,FALSE,5,1,1,1,1,1,0
"any","any","function_words",0.000998002022013637,FALSE,5,1,1,1,1,1,0
"much","much","function_words",0.000853788117261928,FALSE,5,1,1,1,1,1,0
"our","our","function_words",0.000586493102174623,FALSE,5,1,1,1,1,1,0
"us","us","function_words",0.000516360092134339,FALSE,5,1,1,1,1,1,0
"under","underprep","function_words",0.00033615076832222,FALSE,6,1,1,1,1,1,1
"inside",NA,"function_words",0.000323145971758459,FALSE,2,0,0,0,0,1,1
"same","same","function_words",0.000323029857503425,FALSE,6,1,1,1,1,1,1
"mine","mine","function_words",0.000251735704912806,FALSE,6,1,1,1,1,1,1
"yourself","yourself","function_words",0.000248368391516832,FALSE,5,1,1,1,1,1,0
"behind","behind","function_words",0.000214463029047026,FALSE,5,1,1,1,1,1,0
"on_top_of",NA,"function_words",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"can.auxiliary",NA,"function_words",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"on top of","ontopof","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"can (auxiliary)","can2","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"did/did ya","did","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"gonna/going to","gonna","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"hafta/have to","hafta","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"lemme/let me","lemme","function_words",0.000150600188778556,FALSE,4,1,1,1,1,0,0
"a_lot",NA,"function_words",4.92324441342388e-05,FALSE,1,0,0,0,0,1,0
"a lot","alot","function_words",4.92324441342388e-05,FALSE,4,1,1,1,1,0,0
"above","above","function_words",3.46020480000074e-05,FALSE,5,1,1,1,1,1,0
"next_to",NA,"function_words",1.04502829530224e-06,FALSE,1,0,0,0,0,1,0
"book","book","nouns",0.00145328601600031,FALSE,6,1,1,1,1,1,1
"house","house","nouns",0.00090569118926194,FALSE,6,1,1,1,1,1,1
"home","home","nouns",0.000850885260886089,FALSE,6,1,1,1,1,1,1
"car","car","nouns",0.000848562975785417,FALSE,6,1,1,1,1,1,1
"ball","ball","nouns",0.000708064727194783,FALSE,6,1,1,1,1,1,1
"food","food","nouns",0.000667308623677996,FALSE,6,1,1,1,1,1,1
"bear","bear","nouns",0.000616798922738388,FALSE,6,1,1,1,1,1,1
"school","school","nouns",0.000597059499382679,FALSE,6,1,1,1,1,1,1
"dog","dog","nouns",0.000545040313127634,FALSE,6,1,1,1,1,1,1
"mouth","mouth","nouns",0.000529132660188033,FALSE,6,1,1,1,1,1,1
"juice","juice","nouns",0.000523443061691388,FALSE,6,1,1,1,1,1,1
"milk","milk","nouns",0.000505329237906149,FALSE,6,1,1,1,1,1,1
"cat","cat","nouns",0.000492788898362522,FALSE,6,1,1,1,1,1,1
"box","box","nouns",0.000489653813476615,FALSE,6,1,1,1,1,1,1
"hand","hand","nouns",0.000475023417342384,FALSE,6,1,1,1,1,1,1
"picture","picture","nouns",0.000474675074577283,FALSE,6,1,1,1,1,1,1
"bed","bed","nouns",0.000472933360751779,FALSE,6,1,1,1,1,1,1
"chair","chair","nouns",0.000467475990765201,FALSE,6,1,1,1,1,1,1
"story","story","nouns",0.000465734276939697,FALSE,5,1,1,1,1,1,0
"room","room","nouns",0.000459464107167884,FALSE,5,1,1,1,1,1,0
"hat","hat","nouns",0.000421610860026936,FALSE,6,1,1,1,1,1,1
"table","table","nouns",0.000417779089610828,FALSE,6,1,1,1,1,1,1
"truck","truck","nouns",0.000389679439892701,FALSE,6,1,1,1,1,1,1
"kitty","kitty","nouns",0.000386660469261828,FALSE,6,1,1,1,1,1,1
"cheese","cheese","nouns",0.000371913958872563,FALSE,6,1,1,1,1,1,1
"cookie","cookie","nouns",0.000353684020832291,FALSE,6,1,1,1,1,1,1
"cup","cup","nouns",0.000352638992536988,FALSE,6,1,1,1,1,1,1
"spoon","spoon","nouns",0.000343001509369201,FALSE,6,1,1,1,1,1,1
"outside","outside","nouns",0.000332086769396044,FALSE,6,1,1,1,1,1,1
"bird","bird","nouns",0.000320010886872552,FALSE,6,1,1,1,1,1,1
"face","face","nouns",0.000318153058792015,FALSE,6,1,1,1,1,1,1
"tape","tape","nouns",0.00030050369202691,FALSE,5,1,1,1,1,1,0
"duck","duck","nouns",0.000297833064161138,FALSE,6,1,1,1,1,1,1
"bunny","bunny","nouns",0.000293885179489996,FALSE,6,1,1,1,1,1,1
"pizza","pizza","nouns",0.000290169523328921,FALSE,6,1,1,1,1,1,1
"cow","cow","nouns",0.000284479924832276,FALSE,6,1,1,1,1,1,1
"foot","feet","nouns",0.000284131582067175,FALSE,6,1,1,1,1,1,1
"tree","tree","nouns",0.000275190784429589,FALSE,6,1,1,1,1,1,1
"bottle","bottle","nouns",0.000268920614657776,FALSE,6,1,1,1,1,1,1
"apple","apple","nouns",0.000268107814872541,FALSE,6,1,1,1,1,1,1
"horse","horse","nouns",0.000263579358926231,FALSE,6,1,1,1,1,1,1
"bus","bus","nouns",0.000248020048751731,FALSE,6,1,1,1,1,1,1
"ice","ice","nouns",0.000245581649396026,FALSE,5,1,1,1,1,1,0
"cake","cake","nouns",0.000243143250040321,FALSE,6,1,1,1,1,1,1
"bread","bread","nouns",0.000242678793020186,FALSE,6,1,1,1,1,1,1
"moon","moon","nouns",0.000238150337073877,FALSE,6,1,1,1,1,1,1
"egg","egg","nouns",0.000233737995382601,FALSE,6,1,1,1,1,1,1
"money","money","nouns",0.000232344624322198,FALSE,6,1,1,1,1,1,1
"peas","peas","nouns",0.000228512853906089,FALSE,6,1,1,1,1,1,1
"shirt","shirt","nouns",0.000228048396885955,FALSE,6,1,1,1,1,1,1
"store","store","nouns",0.000223287712429578,FALSE,6,1,1,1,1,1,1
"game","game","nouns",0.000221894341369175,FALSE,5,1,1,1,1,1,0
"elephant","elephant","nouns",0.000215856400107429,FALSE,6,1,1,1,1,1,1
"pig","pig","nouns",0.000211327944161119,FALSE,6,1,1,1,1,1,1
"coffee","coffee","nouns",0.000204593317369171,FALSE,6,1,1,1,1,1,1
"doll","doll","nouns",0.000203199946308768,FALSE,6,1,1,1,1,1,1
"stick","stick","nouns",0.000193098006120847,FALSE,5,1,1,1,1,1,0
"kitchen","kitchen","nouns",0.00018543446528863,FALSE,6,1,1,1,1,1,1
"balloon","balloon","nouns",0.000184041094228227,FALSE,6,1,1,1,1,1,1
"frog","frog","nouns",0.000183576637208093,FALSE,6,1,1,1,1,1,1
"shoe","shoe","nouns",0.00017765481020138,FALSE,6,1,1,1,1,1,1
"pants","pants","nouns",0.000170107383624198,FALSE,6,1,1,1,1,1,1
"puppy","puppy","nouns",0.000169294583838963,FALSE,6,1,1,1,1,1,1
"bowl","bowl","nouns",0.000166972298738291,FALSE,6,1,1,1,1,1,1
"party","party","nouns",0.000164882242147686,FALSE,6,1,1,1,1,1,1
"butter","butter","nouns",0.000162327728536948,FALSE,6,1,1,1,1,1,1
"sheep","sheep","nouns",0.000159889329181242,FALSE,6,1,1,1,1,1,1
"brush","brush","nouns",0.000155128644724866,FALSE,6,1,1,1,1,1,1
"sun","sun","nouns",0.000153038588134261,FALSE,6,1,1,1,1,1,1
"chicken.animal",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"fish.animal",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"play_dough",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"chicken.food",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"drink.beverage",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"fish.food",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"french_fries",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"green_beans",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"ice_cream",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"orange.food",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"peanut_butter",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"potato_chip",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"water.beverage",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"belly_button",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"can.object",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"watch.object",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"high_chair",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"living_room",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"play_pen",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"rocking_chair",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"washing_machine",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"lawn_mower",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
"slide.object",NA,"nouns",0.000152109674093992,FALSE,1,0,0,0,0,1,0
