"ckey","ii","n_admins","xi_median","xi_q5","xi_q95"
"Smith::13150",77,6,-10.7677745,-10.85800765,-10.6770179
"Smith::13152",78,5,-13.0876805,-13.20637585,-12.97203245
"Smith::13158",79,4,-14.000058,-14.13108455,-13.87095125
"Smith::13217",80,3,-8.7984669,-8.90407199,-8.687196915
"Smith::13254",81,4,-7.99344215,-8.099933505,-7.88647041
"Smith::13263",82,8,-9.39211615,-9.465287155,-9.322921845
"Smith::13269",83,5,-11.0192525,-11.110205,-10.92936875
"Smith::13319",84,3,-9.4898166,-9.58793643,-9.3901828
"Smith::13337",85,3,-9.87085285,-9.98470646,-9.759037545
"Smith::13431",86,3,-12.6004635,-12.772684,-12.4299817
"Smith::13444",87,3,-9.72388405,-9.828135805,-9.62356801
"Smith::13446",88,3,-11.312398,-11.49280695,-11.13193475
"Smith::13485",89,5,-6.7314275,-6.84521259,-6.615543695
"Smith::13497",90,3,-9.8786086,-9.97859456,-9.777985265
"Smith::13608",91,3,-11.26097,-11.3887509,-11.1386182
"Smith::13635",92,3,-9.16128755,-9.289822015,-9.032455035
"Smith::13789",93,4,-8.9013267,-8.99460978,-8.80679368
"Smith::13899",94,3,-7.21203795,-7.31742547,-7.10599202
"Smith::13900",95,3,-7.83676115,-7.9500545,-7.7257652
"Smith::13939",96,3,-8.41624675,-8.537917795,-8.29338794
"Smith::13967",97,4,-7.44543755,-7.54010003,-7.355497535
"Smith::13988",98,3,-6.99990655,-7.100824445,-6.899178255
"Smith::14094",99,4,-7.2614081,-7.358094205,-7.16439126
"Smith::14179",100,3,-12.066098,-12.1875901,-11.9403043
"Smith::14222",101,3,-10.6908385,-10.82027005,-10.5627008
"Smith::14253",102,3,-8.6144902,-8.71966678,-8.505340365
"Smith::14257",103,4,-10.400344,-10.5094954,-10.29642795
"Smith::14267",104,5,-8.8721868,-8.968331105,-8.779688595
"Smith::14269",105,4,-9.94013245,-10.0394461,-9.843952255
"Smith::14277",106,5,-9.08798245,-9.192891775,-8.982800865
"Smith::14284",107,4,-8.7371135,-8.82728814,-8.65027492
"Smith::14287",108,3,-9.8574319,-9.960201765,-9.75230366
"Smith::14327",109,4,-11.911741,-12.0431999,-11.7876888
"Smith::14336",110,4,-9.173351,-9.28390541,-9.06601775
"Smith::14346",111,3,-11.277737,-11.3794039,-11.18084735
"Smith::14397",112,4,-9.2778397,-9.36741475,-9.18835356
"Smith::14400",113,4,-10.1364345,-10.24558215,-10.028281
"Smith::14443",114,3,-11.7000595,-11.86033325,-11.54547325
"Smith::14467",115,3,-10.1870465,-10.3203279,-10.0570005
"Smith::14558",116,5,-9.58487925,-9.68267009,-9.490781605
"Smith::14580",117,3,-10.0182205,-10.16663365,-9.87292306
"Smith::14632",118,3,-10.0364075,-10.158604,-9.91717787
"Smith::14648",119,4,-11.475841,-11.5689554,-11.3795065
"Smith::14745",120,5,-12.4928605,-12.60986675,-12.3777059
"Smith::14864",121,3,-9.2022133,-9.312735305,-9.091695435
"Smith::14869",122,3,-6.9677929,-7.076299485,-6.858374725
"Smith::14939",123,3,-9.5760789,-9.693602805,-9.45739167
"Smith::14984",124,3,-8.4812311,-8.587632605,-8.372740925
"Smith::15035",125,3,-10.9307945,-11.0555992,-10.7989071
"Smith::15066",126,3,-7.5404112,-7.646699105,-7.433299565
"Smith::15074",127,5,-10.713412,-10.79900475,-10.62620185
"Smith::15111",128,3,-12.815823,-13.0109032,-12.6319068
"Smith::15112",129,3,-12.949311,-13.1495372,-12.75576365
"Smith::15157",130,3,-9.7559283,-9.86459326,-9.65169981
"Smith::15161",131,3,-10.697944,-10.82795425,-10.5730496
"Smith::15198",132,4,-9.9673254,-10.065797,-9.87044698
"Smith::15287",133,4,-8.8253855,-8.921421445,-8.72630911
"Smith::15321",134,4,-5.7667663,-5.862000075,-5.671828845
"Smith::15415",135,4,-8.9355434,-9.028403045,-8.84240275
"Smith::15428",136,3,-12.315096,-12.4330629,-12.19845715
"Smith::15431",137,3,-11.4775575,-11.6026969,-11.35981675
"Smith::15513",138,3,-6.69554925,-6.79676535,-6.59110268
"Smith::15519",139,4,-12.7628825,-12.99451585,-12.53784445
"Smith::15583",140,3,-10.120064,-10.22670295,-10.0118798
"Smith::15597",141,4,-13.9629735,-14.21190755,-13.7370394
"Smith::15628",142,3,-11.321941,-11.4433417,-11.19858275
"Smith::15666",143,3,-7.79196115,-7.89631115,-7.69213029
"Smith::15768",144,3,-11.726478,-11.89590135,-11.56372865
"Smith::15847",145,4,-10.676979,-10.79677035,-10.5588984
"Smith::15869",146,4,-10.453884,-10.5517564,-10.3537032
"Smith::16077",147,3,-8.09541355,-8.19775033,-7.993866765
"Smith::16149",148,5,-7.33908785,-7.42374503,-7.25508551
"Smith::16163",149,3,-10.2058795,-10.39610355,-10.0257905
"Smith::16470",150,3,-11.473712,-11.72707325,-11.2276089
"Smith::16514",151,3,-10.86239,-10.9923447,-10.7292389
"Smith::16639",152,4,-12.8259295,-13.01779265,-12.6462791
