"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Smith::14327",109,4,-11.1236955,-11.4342896,-10.832367,0.45057312,0.405552864,0.498470142
"Smith::14336",110,4,-10.127244,-10.33125175,-9.9285378,0.83917577,0.7999519265,0.879164393
"Smith::14346",111,3,-9.80239535,-10.29554645,-9.3088355,0.39721134,0.3413803335,0.452866141
"Smith::14397",112,4,-9.11709655,-9.30379937,-8.92810685,0.56604676,0.521516451,0.6105409265
"Smith::14400",113,4,-9.53789155,-9.705229085,-9.367967805,0.465471795,0.4429809995,0.487708291
"Smith::14443",114,3,-10.8267585,-11.12165185,-10.5527929,0.43958683,0.403046266,0.4776611665
"Smith::14467",115,3,-11.8400635,-12.21309435,-11.49943845,0.860120735,0.809845067,0.9111829655
"Smith::14558",116,5,-11.0259205,-11.23523195,-10.82092765,0.91908912,0.8807516195,0.958604336
"Smith::14580",117,3,-9.8648147,-10.07622405,-9.657727005,0.503970865,0.4111086515,0.5965289075
"Smith::14632",118,3,-10.608037,-10.92118215,-10.3130539,0.73136416,0.6719856625,0.7941711095
"Smith::14648",119,4,-10.732523,-11.01185055,-10.4515387,0.47518746,0.442387696,0.508069952
"Smith::14745",120,5,-12.017987,-12.3617191,-11.7146612,0.495107835,0.4657337325,0.5264275935
"Smith::14864",121,3,-7.02750945,-7.22048273,-6.83889908,0.229295245,0.203855928,0.254449659
"Smith::14869",122,3,-6.9764796,-7.12123915,-6.833284695,0.606434855,0.570678846,0.641734584
"Smith::14939",123,3,-11.209869,-11.4926098,-10.93358745,0.87840686,0.8348892265,0.923261156
"Smith::14984",124,3,-7.1016467,-7.37498913,-6.83323294,0.382195385,0.344127048,0.421136685
"Smith::15035",125,3,-10.676325,-10.98703505,-10.3830112,0.541578275,0.478847047,0.608326196
"Smith::15066",126,3,-7.81747625,-7.973246505,-7.6750136,0.728204525,0.68547052,0.7734512755
"Smith::15074",127,5,-9.83078435,-10.0357381,-9.62562339,0.44074158,0.410163733,0.472184045
"Smith::15111",128,3,-11.6813575,-12.2611481,-11.1605081,0.354138465,0.244824996,0.472383806
"Smith::15112",129,3,-11.9989725,-12.58691815,-11.4341951,0.39407382,0.2760060365,0.5121393155
"Smith::15157",130,3,-14.0825445,-14.46601975,-13.6931123,1.4336512,1.369912155,1.497855815
"Smith::15161",131,3,-9.86016945,-10.07438065,-9.65787355,0.438464965,0.413189813,0.4640426405
"Smith::15198",132,4,-10.0610345,-10.30148985,-9.83142113,0.626699255,0.5768099235,0.6770761445
"Smith::15287",133,4,-8.9940625,-9.15600773,-8.832535085,0.688067335,0.63227215,0.7433155535
"Smith::15321",134,4,-6.1407735,-6.25555907,-6.027149465,0.97221032,0.9250732015,1.024906465
"Smith::15415",135,4,-11.013313,-11.31558895,-10.72133785,0.98464336,0.9334202825,1.039719255
"Smith::15428",136,3,-12.5672315,-13.21169205,-11.8936735,0.60817058,0.5193347615,0.690978268
"Smith::15431",137,3,-10.462461,-10.8148393,-10.11949675,0.424167905,0.370104132,0.4772634365
"Smith::15513",138,3,-6.56696985,-6.68105776,-6.453309665,1.33673255,1.250588555,1.424894355
"Smith::15519",139,4,-11.3307545,-11.5950652,-11.08096225,0.178892945,0.116715267,0.241874202
"Smith::15583",140,3,-9.07954775,-9.35186586,-8.810974685,0.378980365,0.3246736335,0.4329311345
"Smith::15597",141,4,-11.806664,-12.1384563,-11.51035115,0.18969342,0.133465474,0.247740115
"Smith::15628",142,3,-12.276139,-12.77558245,-11.81514915,0.72619478,0.660304914,0.7986145225
"Smith::15666",143,3,-7.7026772,-7.846161575,-7.560034655,0.57604789,0.53176936,0.6192975925
"Smith::15768",144,3,-11.57061,-11.95371635,-11.19532185,0.558926505,0.462676319,0.6563306165
"Smith::15847",145,4,-9.95438635,-10.17432195,-9.7521135,0.40673648,0.3591218875,0.456648547
"Smith::15869",146,4,-9.9065283,-10.12618695,-9.692566235,0.494260625,0.4610295585,0.5280051475
"Smith::16077",147,3,-8.07837645,-8.24921521,-7.914660475,0.610794225,0.5659711165,0.6548632195
"Smith::16149",148,5,-7.36355465,-7.46241799,-7.26110315,0.60961373,0.5803767945,0.637642037
"Smith::16163",149,3,-10.1285685,-10.3213189,-9.937030155,0.40548145,0.2947341185,0.515177149
"Smith::16470",150,3,-11.3337445,-11.61316315,-11.077917,0.362810735,0.2137702185,0.5201345755
"Smith::16514",151,3,-9.933286,-10.1886772,-9.68659566,0.36414593,0.3066008135,0.420565964
"Smith::16639",152,4,-11.505162,-11.86746955,-11.17732335,0.277853115,0.2014250475,0.3567286015
