source,sample_label,language,measure_type,method,subject_id,age_mo,tokens_per_hour,log_r,citation_path
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1892,7.5454,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,4146,8.3299,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1078,6.9829,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1250,7.1309,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1684,7.4289,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1494,7.3092,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1782,7.4855,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,3878,8.2631,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,384,5.9506,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,752,6.6227,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,2298,7.7398,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1518,7.3251,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1538,7.3382,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1572,7.3601,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,512,6.2383,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,946,6.8522,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1544,7.3421,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,480,6.1738,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,686,6.5309,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1172,7.0665,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2018,7.6099,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2110,7.6544,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,2534,7.8376,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2856,7.9572,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,3244,8.0846,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,4624,8.439,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,362,5.8916,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,790,6.672,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1842,7.5186,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,796,6.6796,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1470,7.293,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,2670,7.8898,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,558,6.3244,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1186,7.0783,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,3496,8.1594,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,988,6.8957,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1102,7.0049,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1386,7.2342,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,844,6.7382,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1108,7.0103,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,1898,7.5486,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),NA,NA,468,6.1485,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,994,6.9017,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),NA,NA,2614,7.8686,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2106,7.6525,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2112,7.6554,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,2204,7.698,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2208,7.6998,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2210,7.7007,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,2274,7.7293,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,478,6.1696,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,582,6.3665,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,1630,7.3963,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1086,6.9903,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1086,6.9903,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,1506,7.3172,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,360,5.8861,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,648,6.4739,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,978,6.8855,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1170,7.0648,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1250,7.1309,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,1678,7.4254,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),NA,NA,2046,7.6236,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2202,7.6971,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),NA,NA,2492,7.8208,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1762,7.4742,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2204,7.698,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,3758,8.2316,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,998,6.9058,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,1412,7.2528,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,1574,7.3614,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,3206,8.0728,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,3310,8.1047,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,3410,8.1345,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,470,6.1527,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,766,6.6412,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,1536,7.3369,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,648,6.4739,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,858,6.7546,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,1692,7.4337,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),NA,NA,1862,7.5294,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),NA,NA,2114,7.6563,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),NA,NA,3006,8.0084,papers/input_estimation/sperry_etal_2019.pdf
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,3504,8.1617,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2845,7.9533,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2635,7.8766,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2573,7.8528,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2501,7.8244,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2310,7.745,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2195,7.6939,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2134,7.6658,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1956,7.5787,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1495,7.3099,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1422,7.2598,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1397,7.2421,NA
Hart & Risley 1995,KC Professional,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1019,6.9266,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,3618,8.1937,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2671,7.8902,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1677,7.4248,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1468,7.2917,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1025,6.9324,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,930,6.8352,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,830,6.7214,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,828,6.719,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,808,6.6946,NA
Hart & Risley 1995,KC Middle Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,143,4.9628,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2353,7.7634,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,2088,7.644,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1912,7.5559,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1697,7.4366,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,1221,7.1074,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,948,6.8544,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,862,6.7593,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,828,6.719,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,826,6.7166,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,805,6.6908,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,526,6.2653,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,443,6.0936,NA
Hart & Risley 1995,KC Working Class,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,268,5.591,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,947,6.8533,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,761,6.6346,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,752,6.6227,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,606,6.4069,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,400,5.9915,NA
Hart & Risley 1995,KC Poor,"English (US, KS)",CDS-mother,manual transcript (visit recording),NA,NA,231,5.4424,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,944.4,6.8505,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1076.4,6.9814,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1100.4,7.0034,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1455.6,7.2832,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1437.6,7.2707,NA
Soderstrom & Wittebolle 2013,Home,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,428.4,6.0601,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,780,6.6593,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,456,6.1225,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1867.2,7.5322,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,956.4,6.8632,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,849.6,6.7448,NA
Soderstrom & Wittebolle 2013,Daycare,"English (CA, Manitoba)",all-adult,manual transcript (visit recording),NA,NA,1233.6,7.1177,NA
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),NA,NA,727.9018,6.5902,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),NA,NA,843.0556,6.737,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),NA,NA,198.6094,5.2913,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),NA,NA,257.1641,5.5497,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),NA,NA,844.8206,6.7391,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),NA,NA,880.4092,6.7804,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),NA,NA,579.5468,6.3622,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),NA,NA,1544.2759,7.3423,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),NA,NA,1039.9169,6.9469,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),NA,NA,1424.5483,7.2616,papers/input_estimation/weisleder_fernald_2013.pdf
