item,form,AM2018,FM2012,FMW2013,FPM2006,SEEDLingS,babyview,n_datasets,flag
night night,WG/WS,nghtnght,nghtnght,nghtnght,nghtnght,Talk_nightnight,nightnight,6,manual_disambig
not,WG/WS,notquant,notquant,notquant,notquant,Talk_not,not,6,manual_disambig
orange (food),WG/WS,orange1,orange1,orange1,orange1,Talk_orange,orange;orange.food,6,manual_disambig
outside,WG/WS,outside,outside,outside,outside,Talk_outside,outside,6,manual_disambig
owie/boo boo,WG/WS,owie,owie,owie,owie,Talk_booboo,owie,6,manual_disambig
pajamas,WG/WS,pajamas,pajamas,pajamas,pajamas,Talk_pajamas,pajamas,6,manual_disambig
patty cake,WG/WS,patycak,patycak,patycak,patycak,Talk_pattycake,pattycake,6,manual_disambig
peekaboo,WG/WS,peekaboo,peekaboo,peekaboo,peekaboo,Talk_peekaboo,peekaboo,6,manual_disambig
picture,WG/WS,picture,picture,picture,picture,Talk_picture,picture,6,manual_disambig
pillow,WG/WS,pillow,pillow,pillow,pillow,Talk_pillow,pillow,6,manual_disambig
quack quack,WG/WS,quackqck,quackqck,quackqck,quackqck,Talk_quackquack,quack_quack,6,manual_disambig
raisin,WG/WS,raisin,raisin,raisin,raisin,Talk_raisin,raisin,6,manual_disambig
refrigerator,WG/WS,refrigerator,refrigerator,refrigerator,refrigerator,Talk_refrigerator,refrigerator,6,manual_disambig
rocking chair,WG/WS,rockingchair,rockingchair,rockingchair,rockingchair,Talk_rockingchair,rocking_chair,6,manual_disambig
scared,WG/WS,scared,scared,scared,scared,Talk_scared,scared,6,manual_disambig
scissors,WG/WS,scissors,scissors,scissors,scissors,Talk_scissors,scissors,6,manual_disambig
shh/shush/hush,WG/WS,shh,shh,shh,shh,Talk_shh,shh,6,manual_disambig
slide (object),WG/WS,slide1,slide1,slide1,slide1,Talk_slide,slide;slide.object,6,manual_disambig
spaghetti,WG/WS,spaghett,spaghett,spaghett,spaghett,Talk_spaghetti,spaghetti,6,manual_disambig
squirrel,WG/WS,squirrel,squirrel,squirrel,squirrel,Talk_squirrel,squirrel,6,manual_disambig
swing (action),WG/WS,swing2,swing2,swing2,swing2,Talk_swing_action,swing.action,6,manual_disambig
swing (object),WG/WS,swing1,swing1,swing1,swing1,Talk_swing_outside,swing.object,6,manual_disambig
teddy bear,WG/WS,teddyber,teddyber,teddyber,teddyber,Talk_teddybear,teddybear,6,manual_disambig
telephone,WG/WS,telephon;telephone,telephon;telephone,telephon;telephone,telephon,Talk_telephone,telephone,6,manual_disambig
thank you,WG/WS,thankyou,thankyou,thankyou,thankyou,Talk_thankyou,thank_you,6,manual_disambig
thirsty,WG/WS,thirsty,thirsty,thirsty,thirsty,Talk_thirsty,thirsty,6,manual_disambig
tomorrow,WG/WS,tomorrow,tomorrow,tomorrow,tomorrow,Talk_tomorrow,tomorrow,6,manual_disambig
tonight,WG/WS,tonight,tonight,tonight,tonight,Talk_tonight,tonight,6,manual_disambig
toothbrush,WG/WS,toothbrush;tothbrsh,toothbrush;tothbrsh,toothbrush;tothbrsh,tothbrsh,Talk_toothbrush,toothbrush,6,manual_disambig
toy (object),WG/WS,toy,toy,toy,toy,Talk_toy,toy,6,manual_disambig
uh oh,WG/WS,uhoh,uhoh,uhoh,uhoh,Talk_uhoh,uh_oh,6,manual_disambig
under,WG/WS,underprep,underprep,underprep,underprep,Talk_under,under,6,manual_disambig
up,WG/WS,upprep,upprep,upprep,upprep,Talk_up,up,6,manual_disambig
wanna/want to,WG/WS,wanna,wanna,wanna,wanna,Talk_wanna,wanna,6,manual_disambig
watch (action),WG/WS,watch2,watch2,watch2,watch2,Talk_watch_action,watch.action,6,manual_disambig
watch (object),WG/WS,watch1,watch1,watch1,watch1,Talk_watch_object,watch.object,6,manual_disambig
water (beverage),WG/WS,water1,water1,water1,water1,Talk_water_food,water.beverage,6,manual_disambig
water (not beverage),WG/WS,water2,water2,water2,water2,Talk_water_outside,water.not_beverage,6,manual_disambig
woof woof,WG/WS,woofwoof,woofwoof,woofwoof,woofwoof,Talk_woofwoof,woof_woof,6,manual_disambig
work (place),WG/WS,work1,work1,work1,work1,Talk_work,work;work.place,6,manual_disambig
yucky,WG/WS,yucky,yucky,yucky,yucky,Talk_yucky,yucky,6,manual_disambig
yum yum,WG/WS,yumyum,yumyum,yumyum,yumyum,Talk_yumyum,yum_yum,6,manual_disambig
alligator,WS,alligatr,alligatr,alligatr,alligatr,NA,alligator,5,manual_disambig
and,WS,andconn,andconn,andconn,andconn,NA,and,5,manual_disambig
apple sauce,WS,applesac,applesac,applesac,applesac,NA,applesauce,5,manual_disambig
at,WS,atprep,atprep,atprep,atprep,NA,at,5,manual_disambig
buttocks/bottom*,WS,buttocks,buttocks,buttocks,buttocks,NA,buttocks,5,manual_disambig
by,WS,byprep,byprep,byprep,byprep,NA,by,5,manual_disambig
call (on phone),WS,callnphn,callnphn,callnphn,callnphn,NA,call,5,manual_disambig
camping,WS,camping,camping,camping,camping,NA,camping,5,manual_disambig
can (auxiliary),WS,can2,can2,can2,can2,NA,can.auxiliary,5,manual_disambig
can (object),WS,can1,can1,can1,can1,NA,can.object,5,manual_disambig
chocolate,WS,chocolat,chocolat,chocolat,chocolat,NA,chocolate,5,manual_disambig
did/did ya,WS,did,did,did,did,NA,did,5,manual_disambig
downtown,WS,downtown,downtown,downtown,downtown,NA,downtown,5,manual_disambig
dry (action),WS,dry1,dry1,dry1,dry1,NA,dry.action,5,manual_disambig
french fries,WS,frnchfrs,frnchfrs,frnchfrs,frnchfrs,NA,french_fries,5,manual_disambig
garbage,WS,garbage,garbage,garbage,garbage,NA,garbage,5,manual_disambig
gas station,WS,gasstation,gasstation,gasstation,gasstation,NA,gas_station,5,manual_disambig
gimme five,WS,givemefv,givemefv,givemefv,givemefv,NA,give_me_five,5,manual_disambig
go potty,WS,gopotty,gopotty,gopotty,gopotty,NA,go_potty,5,manual_disambig
gonna get you,WS,gonnagty,gonnagty,gonnagty,gonnagty,NA,gonna_get_you,5,manual_disambig
gonna/going to,WS,gonna,gonna,gonna,gonna,NA,gonna,5,manual_disambig
gotta/got to,WS,gotta,gotta,gotta,gotta,NA,gotta,5,manual_disambig
green beans,WS,greenbns,greenbns,greenbns,greenbns,NA,green_beans,5,manual_disambig
hafta/have to,WS,hafta,hafta,hafta,hafta,NA,hafta,5,manual_disambig
hamburger,WS,hamburgr,hamburgr,hamburgr,hamburgr,NA,hamburger,5,manual_disambig
hate,WS,hate,hate,hate,hate,NA,hate,5,manual_disambig
helicopter,WS,helicptr,helicptr,helicptr,helicptr,NA,helicopter,5,manual_disambig
if,WS,ifconn,ifconn,ifconn,ifconn,NA,if,5,manual_disambig
in,WG,in,in,in,NA,Talk_in,in,5,manual_disambig
inside/in,WG/WS,inside,inside,inside,inside,NA,inside,5,manual_disambig
lawn mower,WS,lawnmowr,lawnmowr,lawnmowr,lawnmowr,NA,lawn_mower,5,manual_disambig
lemme/let me,WS,lemme,lemme,lemme,lemme,NA,lemme,5,manual_disambig
mittens,WS,mittens,mittens,mittens,mittens,NA,mittens,5,manual_disambig
myself,WS,myself,myself,myself,myself,NA,myself,5,manual_disambig
napkin,WS,napkin,napkin,napkin,napkin,NA,napkin,5,manual_disambig
need/need to,WS,need,need,need,need,NA,need,5,manual_disambig
next to,WS,nextto,nextto,nextto,nextto,NA,next_to,5,manual_disambig
on top of,WS,ontopof,ontopof,ontopof,ontopof,NA,on_top_of,5,manual_disambig
orange (description),WS,orange2,orange2,orange2,orange2,NA,orange.description,5,manual_disambig
pancakes,WS,pancake,pancake,pancake,pancake,NA,pancake,5,manual_disambig
peanut butter,WS,pentbttr,pentbttr,pentbttr,pentbttr,NA,peanut_butter,5,manual_disambig
penis*,WS,penis,penis,penis,penis,NA,penis,5,manual_disambig
pet's name,WS,petname,petname,petname,petname,NA,pet_name,5,manual_disambig
picnic,WS,picnic,picnic,picnic,picnic,NA,picnic,5,manual_disambig
play dough,WS,playdogh,playdogh,playdogh,playdogh,NA,play_dough,5,manual_disambig
playground,WS,playgrnd,playgrnd,playgrnd,playgrnd,NA,playground,5,manual_disambig
popcorn,WS,popcorn,popcorn,popcorn,popcorn,NA,popcorn,5,manual_disambig
popsicle,WS,popsicle,popsicle,popsicle,popsicle,NA,popsicle,5,manual_disambig
potato chips,WS,potatchp,potatchp,potatchp,potatchp,NA,potato_chip,5,manual_disambig
pretend,WS,pretend,pretend,pretend,pretend,NA,pretend,5,manual_disambig
pretzel,WS,pretzel,pretzel,pretzel,pretzel,NA,pretzel,5,manual_disambig
pumpkin,WS,pumpkin,pumpkin,pumpkin,pumpkin,NA,pumpkin,5,manual_disambig
sandwich,WS,sandwich,sandwich,sandwich,sandwich,NA,sandwich,5,manual_disambig
shopping,WS,shopping,shopping,shopping,shopping,NA,shopping,5,manual_disambig
sidewalk,WS,sidewalk,sidewalk,sidewalk,sidewalk,NA,sidewalk,5,manual_disambig
slide (action),WS,slide2,slide2,slide2,slide2,NA,slide.action,5,manual_disambig
slipper,WS,slipper,slipper,slipper,slipper,NA,slipper,5,manual_disambig
sneaker,WS,sneaker,sneaker,sneaker,sneaker,NA,sneaker,5,manual_disambig
snowsuit,WS,snowsuit,snowsuit,snowsuit,snowsuit,NA,snowsuit,5,manual_disambig
so,WS,soconn,soconn,soconn,soconn,NA,so,5,manual_disambig
so big,WS,sobig,sobig,sobig,sobig,NA,so_big,5,manual_disambig
soda/pop,WS,soda,soda,soda,soda,NA,soda,5,manual_disambig
sprinkler,WS,sprinklr,sprinklr,sprinklr,sprinklr,NA,sprinkler,5,manual_disambig
strawberry,WS,strwbrry,strwbrry,strwbrry,strwbrry,NA,strawberry,5,manual_disambig
then,WS,thenconn,thenconn,thenconn,thenconn,NA,then,5,manual_disambig
this little piggy,WS,thslttlp,thslttlp,thslttlp,thslttlp,NA,this_little_piggy,5,manual_disambig
tissue/kleenex,WS,tissue,tissue,tissue,tissue,NA,tissue,5,manual_disambig
to,WS,toprep,toprep,toprep,toprep,NA,to,5,manual_disambig
try/try to,WS,try,try,try,try,NA,try,5,manual_disambig
turn around,WS,turnarnd,turnarnd,turnarnd,turnarnd,NA,turn_around,5,manual_disambig
underpants,WS,undrpnts,undrpnts,undrpnts,undrpnts,NA,underpants,5,manual_disambig
vagina*,WS,vagina,vagina,vagina,vagina,NA,vagina,5,manual_disambig
vitamins,WS,vitamins,vitamins,vitamins,vitamins,NA,vitamins,5,manual_disambig
walker,WS,walker,walker,walker,walker,NA,walker,5,manual_disambig
washing machine,WS,washingmachine,washingmachine,washingmachine,washingmachine,NA,washing_machine,5,manual_disambig
windy,WS,windy,windy,windy,windy,NA,windy,5,manual_disambig
with,WS,withprep,withprep,withprep,withprep,NA,with,5,manual_disambig
work (action),WS,work2,work2,work2,work2,NA,work.action,5,manual_disambig
yellow,WS,yellow,yellow,yellow,yellow,NA,yellow,5,manual_disambig
yesterday,WS,yesterdy,yesterdy,yesterdy,yesterdy,NA,yesterday,5,manual_disambig
yourself,WS,yourself,yourself,yourself,yourself,NA,yourself,5,manual_disambig
inside,WG,NA,NA,NA,NA,Talk_inside,inside,2,manual_disambig
I,WG/WS,i,i,i,i,Talk_i,i,6,
TV,WG/WS,tv,tv,tv,tv,Talk_tv,tv,6,
airplane,WG/WS,airplane,airplane,airplane,airplane,Talk_airplane,airplane,6,
all gone,WG/WS,allgone,allgone,allgone,allgone,Talk_allgone,allgone,6,
animal,WG/WS,animal,animal,animal,animal,Talk_animal,animal,6,
apple,WG/WS,apple,apple,apple,apple,Talk_apple,apple,6,
arm,WG/WS,arm,arm,arm,arm,Talk_arm,arm,6,
asleep,WG/WS,asleep,asleep,asleep,asleep,Talk_asleep,asleep,6,
aunt,WG/WS,aunt,aunt,aunt,aunt,Talk_aunt,aunt,6,
away,WG/WS,away,away,away,away,Talk_away,away,6,
baby,WG/WS,baby,baby,baby,baby,Talk_baby,baby,6,
back,WG/WS,back,back,back,back,Talk_back,back,6,
backyard,WG/WS,backyard,backyard,backyard,backyard,Talk_backyard,backyard,6,
bad,WG/WS,bad,bad,bad,bad,Talk_bad,bad,6,
ball,WG/WS,ball,ball,ball,ball,Talk_ball,ball,6,
balloon,WG/WS,balloon,balloon,balloon,balloon,Talk_balloon,balloon,6,
banana,WG/WS,banana,banana,banana,banana,Talk_banana,banana,6,
bath,WG/WS,bath,bath,bath,bath,Talk_bath,bath,6,
bathroom,WG/WS,bathroom,bathroom,bathroom,bathroom,Talk_bathroom,bathroom,6,
bathtub,WG/WS,bathtub,bathtub,bathtub,bathtub,Talk_bathtub,bathtub,6,
beach,WG/WS,beach,beach,beach,beach,Talk_beach,beach,6,
beads,WG/WS,beads,beads,beads,beads,Talk_beads,beads,6,
bear,WG/WS,bear,bear,bear,bear,Talk_bear,bear,6,
bed,WG/WS,bed,bed,bed,bed,Talk_bed,bed,6,
bedroom,WG/WS,bedroom,bedroom,bedroom,bedroom,Talk_bedroom,bedroom,6,
bee,WG/WS,bee,bee,bee,bee,Talk_bee,bee,6,
bib,WG/WS,bib,bib,bib,bib,Talk_bib,bib,6,
big,WG/WS,big,big,big,big,Talk_big,big,6,
bird,WG/WS,bird,bird,bird,bird,Talk_bird,bird,6,
bite,WG/WS,bite,bite,bite,bite,Talk_bite,bite,6,
blanket,WG/WS,blanket,blanket,blanket,blanket,Talk_blanket,blanket,6,
block,WG/WS,block,block,block,block,Talk_block,block,6,
blow,WG/WS,blow,blow,blow,blow,Talk_blow,blow,6,
blue,WG/WS,blue,blue,blue,blue,Talk_blue,blue,6,
book,WG/WS,book,book,book,book,Talk_book,book,6,
boots,WG/WS,boots,boots,boots,boots,Talk_boots,boots,6,
bottle,WG/WS,bottle,bottle,bottle,bottle,Talk_bottle,bottle,6,
bowl,WG/WS,bowl,bowl,bowl,bowl,Talk_bowl,bowl,6,
box,WG/WS,box,box,box,box,Talk_box,box,6,
boy,WG/WS,boy,boy,boy,boy,Talk_boy,boy,6,
bread,WG/WS,bread,bread,bread,bread,Talk_bread,bread,6,
break,WG/WS,break,break,break,break,Talk_break,break,6,
bring,WG/WS,bring,bring,bring,bring,Talk_bring,bring,6,
broken,WG/WS,broken,broken,broken,broken,Talk_broken,broken,6,
broom,WG/WS,broom,broom,broom,broom,Talk_broom,broom,6,
brother,WG/WS,brother,brother,brother,brother,Talk_brother,brother,6,
brush,WG/WS,brush,brush,brush,brush,Talk_brush,brush,6,
bubbles,WG/WS,bubbles,bubbles,bubbles,bubbles,Talk_bubbles,bubbles,6,
bug,WG/WS,bug,bug,bug,bug,Talk_bug,bug,6,
bump,WG/WS,bump,bump,bump,bump,Talk_bump,bump,6,
bunny,WG/WS,bunny,bunny,bunny,bunny,Talk_bunny,bunny,6,
bus,WG/WS,bus,bus,bus,bus,Talk_bus,bus,6,
butter,WG/WS,butter,butter,butter,butter,Talk_butter,butter,6,
button,WG/WS,button,button,button,button,Talk_button,button,6,
bye,WG/WS,bye,bye,bye,bye,Talk_bye,bye,6,
cake,WG/WS,cake,cake,cake,cake,Talk_cake,cake,6,
candy,WG/WS,candy,candy,candy,candy,Talk_candy,candy,6,
car,WG/WS,car,car,car,car,Talk_car,car,6,
careful,WG/WS,careful,careful,careful,careful,Talk_careful,careful,6,
carrots,WG/WS,carrots,carrots,carrots,carrots,Talk_carrots,carrots,6,
cat,WG/WS,cat,cat,cat,cat,Talk_cat,cat,6,
cereal,WG/WS,cereal,cereal,cereal,cereal,Talk_cereal,cereal,6,
chair,WG/WS,chair,chair,chair,chair,Talk_chair,chair,6,
cheek,WG/WS,cheek,cheek,cheek,cheek,Talk_cheek,cheek,6,
cheerios,WG/WS,cheerios,cheerios,cheerios,cheerios,Talk_cheerios,cheerios,6,
cheese,WG/WS,cheese,cheese,cheese,cheese,Talk_cheese,cheese,6,
child,WG/WS,child,child,child,child,Talk_child,child,6,
clock,WG/WS,clock,clock,clock,clock,Talk_clock,clock,6,
close,WG/WS,close,close,close,close,Talk_close,close,6,
coat,WG/WS,coat,coat,coat,coat,Talk_coat,coat,6,
coffee,WG/WS,coffee,coffee,coffee,coffee,Talk_coffee,coffee,6,
cold,WG/WS,cold,cold,cold,cold,Talk_cold,cold,6,
cookie,WG/WS,cookie,cookie,cookie,cookie,Talk_cookie,cookie,6,
couch,WG/WS,couch,couch,couch,couch,Talk_couch,couch,6,
cow,WG/WS,cow,cow,cow,cow,Talk_cow,cow,6,
cracker,WG/WS,cracker,cracker,cracker,cracker,Talk_cracker,cracker,6,
crib,WG/WS,crib,crib,crib,crib,Talk_crib,crib,6,
cry,WG/WS,cry,cry,cry,cry,Talk_cry,cry,6,
cup,WG/WS,cup,cup,cup,cup,Talk_cup,cup,6,
cute,WG/WS,cute,cute,cute,cute,Talk_cute,cute,6,
dance,WG/WS,dance,dance,dance,dance,Talk_dance,dance,6,
dark,WG/WS,dark,dark,dark,dark,Talk_dark,dark,6,
day,WG/WS,day,day,day,day,Talk_day,day,6,
deer,WG/WS,deer,deer,deer,deer,Talk_deer,deer,6,
diaper,WG/WS,diaper,diaper,diaper,diaper,Talk_diaper,diaper,6,
dinner,WG/WS,dinner,dinner,dinner,dinner,Talk_dinner,dinner,6,
dirty,WG/WS,dirty,dirty,dirty,dirty,Talk_dirty,dirty,6,
dish,WG/WS,dish,dish,dish,dish,Talk_dish,dish,6,
dog,WG/WS,dog,dog,dog,dog,Talk_dog,dog,6,
doll,WG/WS,doll,doll,doll,doll,Talk_doll,doll,6,
donkey,WG/WS,donkey,donkey,donkey,donkey,Talk_donkey,donkey,6,
door,WG/WS,door,door,door,door,Talk_door,door,6,
down,WG/WS,down,down,down,down,Talk_down,down,6,
draw,WG/WS,draw,draw,draw,draw,Talk_draw,draw,6,
drawer,WG/WS,drawer,drawer,drawer,drawer,Talk_drawer,drawer,6,
drive,WG/WS,drive,drive,drive,drive,Talk_drive,drive,6,
duck,WG/WS,duck,duck,duck,duck,Talk_duck,duck,6,
ear,WG/WS,ear,ear,ear,ear,Talk_ear,ear,6,
eat,WG/WS,eat,eat,eat,eat,Talk_eat,eat,6,
egg,WG/WS,egg,egg,egg,egg,Talk_egg,egg,6,
elephant,WG/WS,elephant,elephant,elephant,elephant,Talk_elephant,elephant,6,
empty,WG/WS,empty,empty,empty,empty,Talk_empty,empty,6,
eye,WG/WS,eye,eye,eye,eye,Talk_eye,eye,6,
face,WG/WS,face,face,face,face,Talk_face,face,6,
fall,WG/WS,fall,fall,fall,fall,Talk_fall,fall,6,
fast,WG/WS,fast,fast,fast,fast,Talk_fast,fast,6,
feed,WG/WS,feed,feed,feed,feed,Talk_feed,feed,6,
fine,WG/WS,fine,fine,fine,fine,Talk_fine,fine,6,
finger,WG/WS,finger,finger,finger,finger,Talk_finger,finger,6,
flower,WG/WS,flower,flower,flower,flower,Talk_flower,flower,6,
food,WG/WS,food,food,food,food,Talk_food,food,6,
fork,WG/WS,fork,fork,fork,fork,Talk_fork,fork,6,
frog,WG/WS,frog,frog,frog,frog,Talk_frog,frog,6,
garage,WG/WS,garage,garage,garage,garage,Talk_garage,garage,6,
garden,WG/WS,garden,garden,garden,garden,Talk_garden,garden,6,
gentle,WG/WS,gentle,gentle,gentle,gentle,Talk_gentle,gentle,6,
get,WG/WS,get,get,get,get,Talk_get,get,6,
giraffe,WG/WS,giraffe,giraffe,giraffe,giraffe,Talk_giraffe,giraffe,6,
girl,WG/WS,girl,girl,girl,girl,Talk_girl,girl,6,
give,WG/WS,give,give,give,give,Talk_give,give,6,
glass,WG/WS,glass,glass,glass,glass,Talk_glass,glass,6,
go,WG/WS,go,go,go,go,Talk_go,go,6,
good,WG/WS,good,good,good,good,Talk_good,good,6,
goose,WG/WS,goose,goose,goose,goose,Talk_goose,goose,6,
hair,WG/WS,hair,hair,hair,hair,Talk_hair,hair,6,
hand,WG/WS,hand,hand,hand,hand,Talk_hand,hand,6,
happy,WG/WS,happy,happy,happy,happy,Talk_happy,happy,6,
hard,WG/WS,hard,hard,hard,hard,Talk_hard,hard,6,
hat,WG/WS,hat,hat,hat,hat,Talk_hat,hat,6,
head,WG/WS,head,head,head,head,Talk_head,head,6,
hello,WG/WS,hello,hello,hello,hello,Talk_hello,hello,6,
help,WG/WS,help,help,help,help,Talk_help,help,6,
her,WG/WS,her,her,her,her,Talk_her,her,6,
hi,WG/WS,hi,hi,hi,hi,Talk_hi,hi,6,
his,WG/WS,his,his,his,his,Talk_his,his,6,
hit,WG/WS,hit,hit,hit,hit,Talk_hit,hit,6,
home,WG/WS,home,home,home,home,Talk_home,home,6,
horse,WG/WS,horse,horse,horse,horse,Talk_horse,horse,6,
hot,WG/WS,hot,hot,hot,hot,Talk_hot,hot,6,
house,WG/WS,house,house,house,house,Talk_house,house,6,
how,WG/WS,how,how,how,how,Talk_how,how,6,
hug,WG/WS,hug,hug,hug,hug,Talk_hug,hug,6,
hungry,WG/WS,hungry,hungry,hungry,hungry,Talk_hungry,hungry,6,
hurry,WG/WS,hurry,hurry,hurry,hurry,Talk_hurry,hurry,6,
hurt,WG/WS,hurt,hurt,hurt,hurt,Talk_hurt,hurt,6,
it,WG/WS,it,it,it,it,Talk_it,it,6,
jacket,WG/WS,jacket,jacket,jacket,jacket,Talk_jacket,jacket,6,
jeans,WG/WS,jeans,jeans,jeans,jeans,Talk_jeans,jeans,6,
juice,WG/WS,juice,juice,juice,juice,Talk_juice,juice,6,
jump,WG/WS,jump,jump,jump,jump,Talk_jump,jump,6,
keys,WG/WS,keys,keys,keys,keys,Talk_keys,keys,6,
kick,WG/WS,kick,kick,kick,kick,Talk_kick,kick,6,
kitchen,WG/WS,kitchen,kitchen,kitchen,kitchen,Talk_kitchen,kitchen,6,
kitty,WG/WS,kitty,kitty,kitty,kitty,Talk_kitty,kitty,6,
knee,WG/WS,knee,knee,knee,knee,Talk_knee,knee,6,
lady,WG/WS,lady,lady,lady,lady,Talk_lady,lady,6,
lamb,WG/WS,lamb,lamb,lamb,lamb,Talk_lamb,lamb,6,
lamp,WG/WS,lamp,lamp,lamp,lamp,Talk_lamp,lamp,6,
later,WG/WS,later,later,later,later,Talk_later,later,6,
leg,WG/WS,leg,leg,leg,leg,Talk_leg,leg,6,
light,WG/WS,light,light,light,light,Talk_light,light,6,
lion,WG/WS,lion,lion,lion,lion,Talk_lion,lion,6,
look,WG/WS,look,look,look,look,Talk_look,look,6,
love,WG/WS,love,love,love,love,Talk_love,love,6,
lunch,WG/WS,lunch,lunch,lunch,lunch,Talk_lunch,lunch,6,
man,WG/WS,man,man,man,man,Talk_man,man,6,
me,WG/WS,me,me,me,me,Talk_me,me,6,
meat,WG/WS,meat,meat,meat,meat,Talk_meat,meat,6,
medicine,WG/WS,medicine,medicine,medicine,medicine,Talk_medicine,medicine,6,
meow,WG/WS,meow,meow,meow,meow,Talk_meow,meow,6,
milk,WG/WS,milk,milk,milk,milk,Talk_milk,milk,6,
mine,WG/WS,mine,mine,mine,mine,Talk_mine,mine,6,
money,WG/WS,money,money,money,money,Talk_money,money,6,
monkey,WG/WS,monkey,monkey,monkey,monkey,Talk_monkey,monkey,6,
moo,WG/WS,moo,moo,moo,moo,Talk_moo,moo,6,
moon,WG/WS,moon,moon,moon,moon,Talk_moon,moon,6,
more,WG/WS,more,more,more,more,Talk_more,more,6,
mouse,WG/WS,mouse,mouse,mouse,mouse,Talk_mouse,mouse,6,
mouth,WG/WS,mouth,mouth,mouth,mouth,Talk_mouth,mouth,6,
my,WG/WS,my,my,my,my,Talk_my,my,6,
