"jj","psi_mean","psi_median","psi_sd","psi_q025","psi_q975","item","prob","cc","log_p","lexical_class"
173,15.9987,15.9945,0.1405,15.7321,16.2761,"us",5e-04,1,-7.5687,"function_words"
174,14.3963,14.3977,0.0862,14.2286,14.5693,"vacuum",0,2,-10.6804,"nouns"
175,12.6394,12.6371,0.0799,12.4867,12.8003,"vroom",1e-04,3,-9.8933,"other"
176,14.5476,14.5479,0.089,14.3758,14.7208,"wait",8e-04,3,-7.159,"other"
177,14.5905,14.5881,0.0974,14.3999,14.781,"wake",1e-04,4,-9.5214,"predicates"
178,14.4313,14.4334,0.0866,14.2679,14.5941,"wanna/want to",0,3,-15.9687,"other"
179,14.2401,14.2389,0.0848,14.0766,14.4133,"wash",2e-04,4,-8.4222,"predicates"
180,15.5234,15.5219,0.1259,15.2786,15.776,"we",0.0069,1,-4.9787,"function_words"
181,16.055,16.05,0.1455,15.7831,16.353,"were",0.0013,1,-6.6647,"function_words"
182,14.1329,14.1333,0.0797,13.9808,14.2929,"what",0.0165,1,-4.1014,"function_words"
183,16.025,16.0246,0.1317,15.7697,16.2819,"when",0.0021,1,-6.1709,"function_words"
184,16.1244,16.1235,0.143,15.8574,16.4083,"which",6e-04,1,-7.3394,"function_words"
185,14.3799,14.3807,0.0989,14.1854,14.5704,"white",3e-04,4,-8.2138,"predicates"
186,15.6338,15.6326,0.1261,15.3887,15.8808,"will",0.001,1,-6.9063,"function_words"
187,14.5998,14.5989,0.0987,14.4079,14.7975,"windy",0,4,-11.3147,"predicates"
188,14.7527,14.753,0.1015,14.5479,14.9549,"with",0.005,1,-5.3022,"function_words"
189,15.7762,15.7722,0.1343,15.5219,16.0473,"woods",0,3,-10.7925,"other"
190,14.4133,14.411,0.0879,14.2444,14.5937,"work (place)",4e-04,2,-7.7502,"nouns"
191,16.5092,16.5061,0.1638,16.2057,16.8374,"would",0.0017,1,-6.355,"function_words"
192,13.6848,13.6842,0.0908,13.509,13.8642,"yellow",4e-04,4,-7.8375,"predicates"
193,12.8031,12.8018,0.0793,12.6485,12.9574,"yes",0.0023,3,-6.0804,"other"
194,15.9816,15.981,0.1401,15.7006,16.2583,"yesterday",2e-04,3,-8.5019,"other"
195,14.2231,14.2244,0.0829,14.0537,14.3814,"you",0.0438,1,-3.1285,"function_words"
196,15.2751,15.2735,0.1012,15.08,15.4806,"your",0.0075,1,-4.8901,"function_words"
197,12.5969,12.5992,0.0823,12.4324,12.7508,"yum yum",0,3,-15.9687,"other"
198,14.4564,14.4549,0.0872,14.2845,14.6272,"zoo",2e-04,2,-8.606,"nouns"
