"","SubjectID1","Sex","Study","AGE16M","AGE18M","AWCHr16M","CTCHr16M","CVCHr16M","AWCHr18M","CTCHr18M","CVCHr18M"
"43",13069,"M","TL3",15.8,19.1,1320.366412,44.33587786,163.6030534,1021.9212,47.7031,211.6405
"44",13079,"M","TL3",16.2,18,1731.385932,96.10134197,291.3234614,2285.6702,62.304,200.3875
"45",13081,"F","TL3",16.5,19.2,1769.835178,77.52408824,260.9977637,1299.1132,54.7422,154.8474
"46",13094,"M","TL3",17.3,18.9,NA,NA,NA,1111.0559,22.8138,163.1636
"47",13096,"M","TL3",16.1,18.2,NA,NA,NA,738.0601,27.272,179.1869
"48",13128,"F","TL3",16,18.7,2269.049743,88.9193825,284.0480274,1957.2128,94.9787,386.7128
"49",13131,"M","TL3",15.1,19.5,431.1339848,17.48684439,122.6160874,1258.524,47.7773,180.8157
"50",13142,"F","TL3",15.7,18,1763.25956,78.73621647,286.5097365,1724.7229,67.5108,223.8516
"51",13151,"F","TL3",16.9,18.2,2167.383159,60.14029355,122.8160126,2339.0295,76.9212,178.8864
"52",13191,"F","TL3",16.1,18.4,1507.165666,44.60339762,144.2329799,1654.8237,35.1577,103.2468
"53",13233,"M","TL3",15.8,17.7,1939.44,60.24,183.84,NA,NA,NA
"54",13293,"F","TL3",15.3,19.5,2406.528997,103.1655744,252.9615432,1776.6948,88.8472,258.5442
"55",13304,"F","TL3",17.3,18.9,1427.112296,37.21097745,122.9129151,1989.0695,53.6227,175.5645
"56",13326,"M","TL3",16.1,18.2,691.9142597,15.19490193,61.27617314,877.6353,34.5908,121.4938
"57",13332,"M","TL3",15.7,18.5,NA,NA,NA,1894.1243,59.024,142.4334
"58",13346,"M","TL3",16,19.6,2266.573006,68.64024084,186.0511791,1698.1714,71.8286,189.9429
"59",13364,"M","TL3",14.3,NA,2248.085951,45.37004947,175.0149658,NA,NA,NA
"60",13503,"M","TL3",15.7,18.3,2227.17757,76.14953271,165.0841121,1647.0243,84.2553,224.0695
"61",13604,"M","TL3",16.9,20.1,701.1428571,25.34693878,169.4693878,578.2616,23.8208,166.0266
"62",13628,"M","TL3",16.3,20.3,1902.810811,29.35135135,84.81081081,1573.7881,51.9684,152.3593
"63",13648,"F","TL3",15.1,17.9,1284.521739,51.95031056,160.7701863,1982.0265,84.2354,226.6831
"64",20001,"F","TLO",NA,NA,NA,NA,NA,1969.377,93.39,336.393
"65",20003,"F","TLO",NA,NA,NA,NA,NA,1389.947,26.439,93.442
"66",20004,"M","TLO",NA,NA,NA,NA,NA,491.264,8.141,29.738
"67",20007,"F","TLO",NA,NA,NA,NA,NA,946.994,26.544,125.812
"68",20034,"F","TLO",NA,NA,NA,NA,NA,1554.81,24.163,95.411
"69",20037,"F","TLO",NA,NA,NA,NA,NA,1227.626,36.752,186.822
"70",20038,"M","TLO",NA,NA,NA,NA,NA,1205.403,48.137,241.25
"71",20041,"F","TLO",NA,NA,NA,NA,NA,1371.283,39.062,114.263
"72",20047,"F","TLO",NA,NA,NA,NA,NA,885.268,23.118,87.031
"73",20048,"F","TLO",NA,NA,NA,NA,NA,124.735,7.507,130.654
"74",20053,"F","TLO",NA,NA,NA,NA,NA,1582.798,52.742,211.395
"75",20056,"F","TLO",NA,NA,NA,NA,NA,3138.395,111.511,246.436
"76",20071,"M","TLO",NA,NA,NA,NA,NA,2678.28,62.19,167.006
"77",20073,"F","TLO",NA,NA,NA,NA,NA,1470.145,47.546,126.19
"78",20086,"M","TLO",NA,NA,NA,NA,NA,1145.561,80.433,392.243
"79",20100,"M","TLO",NA,NA,NA,NA,NA,3069.535,127.45,347.176
"80",20108,"F","TLO",NA,NA,NA,NA,NA,1490.472,62.214,289.516
"81",20112,"F","TLO",NA,NA,NA,NA,NA,984.514,33.098,174.289
"82",20113,"F","TLO",NA,NA,NA,NA,NA,934.247,37.395,211.405
"83",20114,"M","TLO",NA,NA,NA,NA,NA,1413.658,65.192,193.337
"84",20117,"M","TLO",NA,NA,NA,NA,NA,1112.268,19.676,88.057
"85",20121,"M","TLO",NA,NA,NA,NA,NA,334.853,10.215,100.738
"86",20122,"M","TLO",NA,NA,NA,NA,NA,1096.793,46.98,184.673
"87",20127,"F","TLO",NA,NA,NA,NA,NA,713.293,39.601,221.808
"88",20128,"M","TLO",NA,NA,NA,NA,NA,1117.377,50.441,165.58
"89",20129,"F","TLO",NA,NA,NA,NA,NA,2219.887,21.157,53.385
"90",20132,"M","TLO",NA,NA,NA,NA,NA,2128.801,56.177,164.299
"91",20135,"M","TLO",NA,NA,NA,NA,NA,1793.833,39.656,168.814
"92",20136,"M","TLO",NA,NA,NA,NA,NA,1537.174,52.274,254.7
"93",20147,"F","TLO",NA,NA,NA,NA,NA,1580.699,26.989,93.213
"94",20148,"F","TLO",NA,NA,NA,NA,NA,1362.112,11.436,59.498
"95",20149,"M","TLO",NA,NA,NA,NA,NA,1490.319,64.96,254.342
"96",20161,"F","TLO",NA,NA,NA,NA,NA,1309.320032,53.55736414,187.9233395
"97",20162,"F","TLO",NA,NA,NA,NA,NA,2115.985045,102.1262022,298.0564514
"98",20166,"F","TLO",NA,NA,NA,NA,NA,829.1552303,56.35864593,320.5855444
"99",20167,"F","TLO",NA,NA,NA,NA,NA,754.8672962,29.64686927,138.0835161
"100",20169,NA,"TLO",NA,NA,NA,NA,NA,1140.737456,73.0993411,246.5534719
"101",20176,"M","TLO",NA,NA,NA,NA,NA,2962.158374,94.81429573,222.6348984
"102",20177,"M","TLO",NA,NA,NA,NA,NA,1039.337757,44.45508654,199.9863173
"103",20191,"F","TLO",NA,NA,NA,NA,NA,1165.680934,16.57587549,58.59922179
"104",20192,"M","TLO",NA,NA,NA,NA,NA,670.3609756,25.05365854,166.3609756
"105",20196,"F","TLO",NA,NA,NA,NA,NA,860.4462869,6.529131716,24.95061049
"106",20200,"F","TLO",NA,NA,NA,NA,NA,1171.281834,54.70429396,156.8698046
"107",20203,"F","TLO",NA,NA,NA,NA,NA,1569.147923,79.9838816,326.3975383
"108",20204,"F","TLO",NA,NA,NA,NA,NA,1726.114058,43.20954907,124.0185676
"109",20219,"M","TLO",NA,NA,NA,NA,NA,438.6571605,25.26244877,243.3279066
"110",20224,"M","TLO",NA,NA,NA,NA,NA,2067.843358,51.38308138,123.2470248
"111",20225,"F","TLO",NA,NA,NA,NA,NA,507.5538587,27.06766917,209.3887569
"112",20233,"M","TLO",NA,NA,NA,NA,NA,1905.538494,96.57947686,356.7086731
"113",20236,"M","TLO",NA,NA,NA,NA,NA,980.853957,51.56377482,253.4131085
"114",20242,"M","TLO",NA,NA,NA,NA,NA,1541.171248,47.69677309,183.5342325
"115",911343,"M","TL3",16.9,18.7,881.0058775,39.63990774,197.5745852,776.6752,25.4227,94.7347
"116",911401,"M","TL3",16.4,18.8,1221.90184,26.13496933,86.87116564,1146.5781,39.5092,174.0432
"117",911429,"M","TL3",16.4,18.8,1529.058824,56.23529412,224,1922.5683,66.952,217.5055
