Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
cook	11.728380	4.204226	10.865564	4.215334	3.390920	0.539901
cookie	10.987875	2.951712	14.815623	-2.048288	3.156935	2.770275
corn	12.135646	5.208176	11.342177	4.926572	3.370914	0.625028
couch	12.257227	3.539141	11.617341	3.333128	3.198039	0.595495
could	11.690425	4.348340	12.723148	4.759369	1.634659	0.643802
country	14.556013	5.833998	12.375744	6.528671	3.315207	0.239366
cover	11.982463	6.562264	11.906203	6.730698	2.878211	0.901369
cow	11.590152	3.240665	12.924084	2.195141	2.191156	1.315032
cowboy	13.299882	5.634164	11.752533	6.221687	3.420965	0.253932
cracker	13.990424	4.324893	12.695112	5.300931	3.033489	0.456757
crayon	14.299184	5.121921	12.227622	6.256267	2.935739	0.353057
crib	11.975781	4.745274	11.545894	4.110712	3.479344	0.853417
cry	11.255373	3.684251	10.542330	3.756192	3.225228	0.508443
cup	11.510835	4.372278	16.510835	3.305738	0.932092	1.861194
cut	11.856299	4.222615	11.746915	3.395335	3.103407	0.829852
cute	11.978956	5.208750	16.978956	0.208750	2.590727	3.044235
daddy	11.257956	4.335621	16.257956	3.934739	0.822584	1.779593
dance	11.336884	3.375005	9.647938	4.080707	3.635786	0.184418
dark	13.806241	3.365063	12.328966	3.496813	3.152274	0.363189
day	11.322298	2.958600	11.898906	2.106481	2.622961	1.129644
deer	11.874898	4.429917	12.251516	-0.570083	4.340524	1.454293
diaper	11.605275	3.450063	13.571151	-1.549937	3.949806	2.140740
did	11.623687	3.765897	10.763162	4.527517	1.623618	0.302080
dinner	11.664945	3.947680	11.462085	3.621588	2.874818	0.816506
dirty	11.289981	5.204923	11.827641	4.832065	2.720026	1.010508
dish	11.458401	5.902639	11.395232	5.552764	3.306435	0.846775
do	12.065648	2.625221	11.711462	3.356354	1.316191	0.350096
doctor	11.792134	4.183844	11.366428	3.916784	3.086158	0.552059
does	11.587314	3.947494	12.939015	4.629306	1.326941	0.570895
dog	10.865076	3.937012	12.704241	3.662960	1.921585	1.130962
doll	11.735059	4.382563	14.165366	4.934297	1.465620	1.107090
donkey	11.900624	5.111789	13.722209	4.297029	2.353676	1.401259
